,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,release_action,release_tag_name,release_name,release_body
837,ReleaseEvent,2015-06-10 00:42:36+00:00,11186886,irmen/Serpent,1771820,irmen,,,published,v1.11.2,release 1.11.2,"packaging changes: maven central, nuget.org"
1429,ReleaseEvent,2016-04-14 16:35:46+00:00,5213355,tehmaze/xmodem,972584,jquast,,,published,0.4.4,"Bugfixes for retry parameter, large file transfers.","  * bugfix: Large file transfers in ``send()`` were more likely to fail for
    small values of ``retry``: This value should be the maximum failures per
    block transfer as documented, but was improperly implemented as the number
    of failures allowed for the total duration of the transfer, `PR #21
    <https://github.com/tehmaze/xmodem/pull/21>`_.
  * bugfix: ``send(retry=n)`` and ``recv(retry=n)`` would not retry ``n-1``
    times, rather than ``n`` times as documented, causing 'retry=1' to never
    retry, for example."
2015,ReleaseEvent,2017-07-13 08:19:30+00:00,78573084,flennerhag/mlens,19593480,flennerhag,,,published,0.1.4,0.1.4,"###  Updates
- Prediction array dtype option (default=float32)
- Feature propagation
- Clustered subsemble partitioning
- No memmaps passed to estimators (only ndarray views)
- Threading as default global backend (changeable through mlens.config.BACKEND)
- Global configuration (mlens.config)
- Optional specification of temporary directory
- Scoring exception handling"
2533,ReleaseEvent,2016-07-07 13:23:35+00:00,21240523,glennmatthews/cot,5603551,glennmatthews,,,published,v1.6.1,Version 1.6.1,"Bug Fixes
--

- `ValueMismatchError` exceptions are properly caught by the CLI wrapper so as to result in a graceful exit rather than a stack trace.
- `cot remove-file` now errors if the user specifies both file-id and file-path, one of which matches a file in the OVF, but the other does not match this or any other file.
- Better handling of exceptions and usage of `sudo` when installing helpers.
- Manual pages are now correctly included in the distribution. Oops!"
2551,ReleaseEvent,2018-02-08 12:07:16+00:00,120079872,holgern/py-scrypt,2202263,holgern,,,published,untagged-aeb2a7c30ebd0d8df2de,,
2668,ReleaseEvent,2017-11-08 23:38:09+00:00,23058769,nabla-c0d3/sslyze,1915165,nabla-c0d3,,,published,1.1.5,1.1.5,"* Fixed JSON output when using Python 2.7 (#246).
* Fixed CLI output for showing whether a certificate is EV or not (#245).
* Fixed `ConcurrentScanner` when using Python 3.6 (#251)."
2743,ReleaseEvent,2015-11-09 20:17:08+00:00,35068215,npilon/planterbox,382517,npilon,,,published,0.4.3,Release 0.4.3,"* Allow steps to start with ""But""
* Improve step reporting for outlines
* Improve documentation of hooks"
2763,ReleaseEvent,2016-12-15 19:35:25+00:00,47879364,pklaus/brother_ql,85449,pklaus,,,published,v0.7.2,brother_ql v0.7.2,"New functionality:
* A new argument `--rotate` was added to the `brother_ql_create` tool.

Bug Fixes:
* A nasty bug concerning the QL-500 and QL-570 was fixed which prevented full printouts.
* The last line of your image files was missing on the labels. Now it will be printed.
* The `--threshold` argument wasn't working since moving away from numpy. This is now fixed."
2927,ReleaseEvent,2017-05-12 12:22:25+00:00,21185133,bw2/ConfigArgParse,6240170,bw2,,,published,0.12.0,,
3191,ReleaseEvent,2016-02-22 14:55:59+00:00,49825187,thombashi/tcconfig,15517661,thombashi,,,published,v0.1.3,v0.1.3,
3307,ReleaseEvent,2016-03-02 18:53:01+00:00,2294792,Kwpolska/pkgbuilder,327323,Kwpolska,,,published,v4.2.5,,"*AUR RPC v5 compatiblity
* Pacman 5.0 compatiblity"
3533,ReleaseEvent,2018-04-26 09:05:14+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,published,0.10.1,0.10.1,* Fixes a bug for optional dependency `protobuf`. `message_protocol` imports would break unless the `google.protobuf` package was installed.
4467,ReleaseEvent,2015-02-01 01:37:07+00:00,24561828,gunthercox/ChatterBot,2030578,gunthercox,,,published,0.0.5,0.0.5,"- Added a check to make sure that empty lines in csv files are ignored. @Jay-Parker
- Added GitHub social auth class.
- Added method to get the name of the logged in account."
4478,ReleaseEvent,2015-12-13 21:47:47+00:00,24561828,gunthercox/ChatterBot,2030578,gunthercox,,,published,0.3.2,0.3.2,"- Correct issue with response objects using mongo storage adapter [https://github.com/gunthercox/ChatterBot/pull/96]
- Change response structure to list of dictionaries [https://github.com/gunthercox/ChatterBot/pull/84]
- Added mathematical evaluation capabilities [https://github.com/gunthercox/ChatterBot/pull/80]"
4643,ReleaseEvent,2017-11-05 11:24:30+00:00,53180953,thombashi/pingparsing,15517661,thombashi,,,published,v0.12.0,,"- Add `pingparsing` CLI
- Add `as_tuple` method to `PingParsing` class
- Change `PingParsing.parse` method to return the parsed result as `namedtuple`
- Improve log messages
- Drop support for Python 3.3
"
4648,ReleaseEvent,2017-10-01 14:56:44+00:00,58070676,thombashi/sqlitebiter,15517661,thombashi,,,published,v0.11.1,,"- Modify to accept underscore-character for attribute names (Thanks to Alex Kobzar)
"
4704,ReleaseEvent,2016-02-09 03:02:13+00:00,43719692,xeBuz/Flask-Validator,662916,xeBuz,,,published,v1.1.3,Implements pymoneyed,
5049,ReleaseEvent,2016-10-10 14:01:18+00:00,5514695,dbtsai/python-mimeparse,1718372,wojcikstefan,,,published,1.5.4,v1.5.4,"- Release as a universal wheel
- Minor cleanup"
5246,ReleaseEvent,2017-01-22 15:06:32+00:00,73589616,tadashi-aikawa/owlmixin,9500018,tadashi-aikawa,,,published,1.0.0rc7,1.0.0rc7,"## New features

* :new: Add `all`, `any`

## Improvements

* :arrow_upper_right: Replace type hintings comments to docstring"
